courier_id,vehicle,on_lat,on_lng,on_time,off_time
c1,bicycle,4.883466025,-75.6224665,0:00:00,23:53:00
c2,bicycle,4.832279866,-75.68893701,0:00:00,18:49:01
c3,bicycle,4.815816852,-75.68918914,0:00:00,18:53:01
c4,motorcycle,4.80583512,-75.66977531,0:00:00,23:53:00
c5,motorcycle,4.81124168,-75.68637282,0:00:00,23:53:00
c6,motorcycle,4.797592207,-75.73224396,0:00:00,23:02:00
c7,motorcycle,4.806897168,-75.69701046,0:00:00,0:01:00
c8,motorcycle,4.807883175,-75.68689317,0:00:00,22:10:00
c9,motorcycle,4.802225677,-75.70527166,0:00:00,21:37:00
c10,motorcycle,4.812977964,-75.66418022,0:00:00,21:42:00
c11,bicycle,4.813680082,-75.70981532,0:00:00,13:39:00
c12,motorcycle,4.807847689,-75.6983462,0:00:00,0:01:00
c13,motorcycle,4.827877055,-75.68912476,0:00:00,23:08:00
c14,motorcycle,4.816450532,-75.68644255,6:01:00,21:09:00
c15,motorcycle,4.824812578,-75.68276793,6:19:00,12:59:00
c16,motorcycle,4.812080673,-75.73316127,6:19:00,20:32:00
c17,motorcycle,4.811700465,-75.68597585,6:21:00,19:55:01
c18,walking,4.80752071,-75.68337411,6:24:00,21:51:00
c19,motorcycle,4.808899598,-75.68454355,6:28:00,22:28:00
c20,motorcycle,4.834538303,-75.69325536,6:31:00,22:42:00
c21,motorcycle,4.834168233,-75.68350285,6:38:00,15:32:01
c22,motorcycle,4.79743252,-75.74688345,6:42:00,21:32:00
c23,motorcycle,4.820825461,-75.67550451,6:44:00,19:38:00
c24,motorcycle,4.808968036,-75.74551553,7:01:00,14:11:01
c25,motorcycle,4.816176783,-75.67943126,7:01:00,17:09:01
c26,motorcycle,4.827671743,-75.67957073,7:01:00,13:20:01
c27,motorcycle,4.808899598,-75.68453819,7:05:00,22:57:00
c28,walking,4.809898278,-75.68275183,7:05:00,21:17:00
c29,motorcycle,4.796175298,-75.69374889,7:18:00,14:26:00
c30,motorcycle,4.811682722,-75.67850858,7:18:00,22:42:00
c31,motorcycle,4.812189666,-75.68249971,7:18:00,23:08:00
c32,motorcycle,4.809170813,-75.68389446,7:18:00,20:46:00
c33,motorcycle,4.803432205,-75.73762983,7:18:00,23:05:00
c34,motorcycle,4.793503702,-75.73589176,7:41:00,21:14:00
c35,motorcycle,4.823537613,-75.67025274,7:41:00,19:46:01
c36,motorcycle,4.804922621,-75.74302107,7:41:00,22:05:00
c37,motorcycle,4.814083103,-75.70822746,7:41:00,21:11:00
c38,motorcycle,4.794910472,-75.70805579,7:41:00,21:09:00
c39,motorcycle,4.806879425,-75.68256408,7:41:00,20:25:00
c40,motorcycle,4.812739701,-75.7828787,7:41:00,16:03:01
c41,motorcycle,4.852524684,-75.66217929,7:41:00,22:00:00
c42,car,4.79933356,-75.75091749,7:55:00,17:49:00
c43,motorcycle,4.823033203,-75.67596585,7:55:00,12:40:01
c44,motorcycle,4.821489558,-75.69594294,7:55:00,9:39:00
c45,motorcycle,4.808628383,-75.68550915,7:55:00,21:51:00
c46,motorcycle,4.892956021,-75.88103682,7:55:00,21:29:00
c47,bicycle,4.840208474,-75.67461401,7:55:00,15:53:00
c48,motorcycle,4.816093137,-75.71993798,7:58:00,17:04:01
c49,motorcycle,4.807396508,-75.69351286,8:02:00,11:59:00
c50,motorcycle,4.818975115,-75.69953173,8:02:00,17:26:00
c51,motorcycle,4.841491043,-75.67597121,8:02:00,21:03:00
c52,motorcycle,4.818044872,-75.6804505,8:08:00,19:46:01
c53,motorcycle,4.82606473,-75.69674224,8:08:00,17:09:01
c54,motorcycle,4.801181372,-75.70389837,8:08:00,18:57:01
c55,motorcycle,4.801097726,-75.70391446,8:12:00,18:56:00
c56,walking,4.808947758,-75.69107741,8:12:00,16:16:00
c57,motorcycle,4.841635522,-75.66229731,8:15:00,14:39:01
c58,motorcycle,4.80906182,-75.72579056,8:15:00,18:42:01
c59,motorcycle,4.802451267,-75.73689491,8:15:00,23:02:00
c60,motorcycle,4.817388379,-75.68102986,8:21:00,20:05:00
c61,car,4.847914026,-75.65967411,8:21:00,16:47:00
c62,motorcycle,4.815710394,-75.68907112,8:21:00,21:33:00
c63,motorcycle,4.812204874,-75.68247288,8:22:00,22:28:00
c64,motorcycle,4.814617929,-75.6942746,8:23:00,23:53:00
c65,motorcycle,4.815173033,-75.6869629,8:30:00,19:00:01
c66,motorcycle,4.799419741,-75.69214493,8:30:00,19:31:01
c67,motorcycle,4.796565645,-75.74611634,8:30:00,23:53:00
c68,car,4.803391649,-75.70855469,8:32:00,23:44:00
c69,motorcycle,4.80415967,-75.73233515,8:33:01,22:31:00
c70,motorcycle,4.812810673,-75.68915159,8:33:01,23:08:00
c71,motorcycle,4.812559735,-75.67943662,8:41:00,20:39:00
c72,motorcycle,4.770795135,-75.63752979,8:43:00,17:55:00
c73,motorcycle,4.830452332,-75.686979,8:44:00,9:45:00
c74,motorcycle,4.799356373,-75.73481351,8:52:00,17:47:00
c75,motorcycle,4.803994913,-75.68660349,9:03:00,18:03:01
c76,motorcycle,4.82983386,-75.69068581,9:09:00,21:23:00
c77,motorcycle,4.80724189,-75.68334728,9:15:00,17:01:00
