store_id,pick_up_lat,pick_up_lng
s1,4.807988,-75.698245
s2,4.808411,-75.689017
s3,4.806759219,-75.74778969
s4,4.811144201,-75.69198044
s5,4.807934,-75.687068
s6,4.811143,-75.693125
s7,4.806918,-75.736006
s8,4.814063,-75.763696
s9,4.809223,-75.741789
s10,4.81124287,-75.6910093
s11,4.8091097,-75.7415858
s12,4.814012,-75.713595
s13,4.812284,-75.68645
s14,4.807388,-75.683625
s15,4.811071,-75.693119
s16,4.792196,-75.710936
s17,4.8029,-75.694972
s18,4.812399,-75.77302
s19,4.812135,-75.694512
s20,4.80646637,-75.68411717
s21,4.835755928,-75.66949331
s22,4.805889727,-75.73751986
s23,4.814854327,-75.69836533
s24,4.802896861,-75.69451451
s25,4.795354,-75.710026
s26,4.808776,-75.687967
s27,4.804508,-75.687265
s28,4.815143,-75.697348
s29,4.806147183,-75.68234894
s30,4.807302585,-75.68390327
s31,4.803224,-75.697282
s32,4.807062,-75.683784
s33,4.809302,-75.740562
s34,4.809363,-75.741384
s35,4.810918971,-75.69322831
s36,4.809223,-75.741798
s37,4.807241053,-75.68353724
s38,4.809182,-75.697816
s39,4.809192,-75.740626
s40,4.814161,-75.694233
s41,4.805665,-75.737934
s42,4.814286,-75.694137
s43,4.800692,-75.708558
s44,4.807176532,-75.68649346
s45,4.811157652,-75.69305699
s46,4.806687,-75.683304
s47,4.81695,-75.693998
s48,4.806692,-75.68465
s49,4.806747,-75.683759
s50,4.809250947,-75.74064168
s51,4.806488,-75.682238
s52,4.809304664,-75.74049505
s53,4.811204,-75.693312
s54,4.808757,-75.691009
s55,4.805868,-75.683569
s56,4.835715,-75.669585
s57,4.825093,-75.676586
s58,4.8065,-75.697369
s59,4.808658,-75.679497
s60,4.811073,-75.693117
s61,4.806794,-75.685447
s62,4.807270138,-75.68367672
s63,4.805336664,-75.68298097
s64,4.826706,-75.678862
s65,4.80727,-75.683549
s66,4.806981,-75.683506
s67,4.807083,-75.683778
s68,4.810833,-75.6935
s69,4.835392294,-75.66907933
s70,4.827255,-75.679078
s71,4.827705,-75.679288
s72,4.823631,-75.674783
s73,4.808977772,-75.74050319
s74,4.8292183,-75.6770416
s75,4.813995,-75.801116
s76,4.827353,-75.67956
s77,4.806217,-75.683348
s78,4.80265,-75.694968
s79,4.810835,-75.690965
s80,4.813942,-75.694511
s81,4.827878,-75.679994
s82,4.80709099,-75.68383983
s83,4.809174,-75.691039
s84,4.809002,-75.740603
s85,4.808575,-75.679527
s86,4.806182,-75.688802
s87,4.807317,-75.720848
s88,4.8060959,-75.7162763
s89,4.792308,-75.710857
s90,4.814039,-75.76385
s91,4.8112683,-75.693181
s92,4.809352,-75.741806
s93,4.813706,-75.694609
s94,4.808111,-75.691403
s95,4.808349,-75.689437
s96,4.803741,-75.684179
s97,4.812759278,-75.77425142
s98,4.807982,-75.687071
s99,4.809281,-75.742504
s100,4.814885,-75.695052
s101,4.812972152,-75.77510696
s102,4.808758126,-75.68987978
s103,4.806944,-75.747842
s104,4.807227,-75.683495
s105,4.808294,-75.68689
s106,4.826105385,-75.68348993
s107,4.808901,-75.682222
s108,4.810258063,-75.69421525
s109,4.807250958,-75.68375264
s110,4.802243,-75.747682
s111,4.80654,-75.737671
s112,4.806756,-75.685488
s113,4.809006,-75.681175
s114,4.8111428,-75.69328513
s115,4.808464244,-75.690004
s116,4.811287881,-75.6917032
s117,4.81117785,-75.69194707
s118,4.812592,-75.773236
s119,4.807006,-75.683774
s120,4.808952,-75.681521
s121,4.80494,-75.694313
s122,4.804632,-75.737965
s123,4.80844,-75.686976
s124,4.809498,-75.740748
s125,4.8056928,-75.6829708
s126,4.82754,-75.679893
s127,4.8263501,-75.6781826
s128,4.808566,-75.690795
s129,4.835954291,-75.66884966
s130,4.829109,-75.675917
s131,4.805772,-75.682735
s132,4.805732272,-75.68352013
s133,4.809249,-75.742135
s134,4.803890508,-75.68497506
s135,4.82888565,-75.67916566
s136,4.811180692,-75.69337109
s137,4.807618607,-75.68631921
s138,4.807145105,-75.68370817
s139,4.836153,-75.67159
s140,4.814771,-75.699171
s141,4.823360598,-75.68942718
s142,4.825958,-75.677483
s143,4.808348,-75.690389
s144,4.807281,-75.68586
s145,4.806945,-75.683506
s146,4.808316,-75.681029
s147,4.803573,-75.832082
s148,4.806247597,-75.68438334
s149,4.808213,-75.687051
s150,4.803549,-75.684791
s151,4.801843,-75.7275
s152,4.807016,-75.817815
s153,4.808884,-75.688854
s154,4.826726,-75.678943
s155,4.807577597,-75.72125573
s156,4.811015992,-75.69184944
s157,4.80843733,-75.6873389
s158,4.80768936,-75.72118558
s159,4.808729,-75.68055
s160,4.800826,-75.742917
s161,4.815202,-75.707602
s162,4.817668,-75.679895
s163,4.803530227,-75.69710776
s164,4.799854,-75.760108
s165,4.806792,-75.721592
s166,4.80636,-75.682371
s167,4.808948,-75.681425
s168,4.803611701,-75.69713991
s169,4.807578,-75.687036
s170,4.806105484,-75.68413707
s171,4.811257,-75.693155
s172,4.807444449,-75.68480429
s173,4.826652741,-75.67761671
s174,4.805616,-75.748077
s175,4.811934761,-75.70478962
s176,4.813064,-75.686794
s177,4.803895,-75.69625
s178,4.811235,-75.738091
s179,4.808773,-75.683006
s180,4.805323,-75.696942
s181,4.803434,-75.746433
