order_id,store_id,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
o1,s1,11.0229623,-74.8139672,0:08:24,0:09:01,0:16:01,0:38:24
o2,s2,11.01762579,-74.82158303,0:10:18,0:11:55,0:31:55,0:40:18
o3,s1,10.98454941,-74.81314749,0:11:43,0:12:19,0:19:19,0:41:43
o4,s3,11.02331526,-74.80603565,0:17:44,0:18:58,0:31:58,0:47:44
o5,s4,10.9695975,-74.8051701,0:19:05,0:20:21,0:25:21,0:49:05
o6,s4,10.98986783,-74.79160231,0:21:49,0:23:02,0:33:02,0:51:49
o7,s5,11.0132414,-74.8352989,0:26:25,0:29:33,0:34:33,0:56:25
o8,s1,11.0145157,-74.8255251,0:32:42,0:33:18,0:40:18,0:59:42
o9,s4,10.9695975,-74.8051701,0:33:07,0:34:00,0:44:00,1:03:07
o10,s1,11.002972,-74.812981,0:39:27,0:40:04,0:47:04,1:09:27
o11,s4,10.98915132,-74.7918028,0:40:02,0:40:50,0:45:50,1:10:02
o12,s6,11.007046,-74.792587,0:43:22,0:44:34,1:04:34,1:12:22
o13,s1,11.008927,-74.809789,0:47:59,0:48:33,0:55:33,1:17:59
o14,s7,11.00444453,-74.7994595,0:48:25,0:49:50,0:54:50,1:18:25
o15,s4,10.98842658,-74.79156677,0:53:51,0:54:45,0:59:45,1:23:51
o16,s1,11.012098,-74.825661,0:56:25,0:56:58,1:03:58,1:23:25
o17,s8,11.0147364,-74.8184334,1:00:37,1:03:22,1:08:22,1:28:37
o18,s1,11.007831,-74.812052,1:01:23,1:01:59,1:08:59,1:31:23
o19,s1,11.009769,-74.809456,1:01:58,1:02:31,1:09:31,1:31:58
o20,s1,11.0159318,-74.831016,1:03:09,1:03:46,1:10:46,1:32:09
o21,s4,10.99163458,-74.79050025,1:07:05,1:08:17,1:13:17,1:37:05
o22,s5,11.0132414,-74.8352989,1:08:46,1:09:48,1:14:48,2:08:46
o23,s9,10.9695975,-74.8051701,1:09:53,1:11:10,1:31:10,1:27:53
o24,s9,10.99426823,-74.79505733,1:11:33,1:12:44,1:26:44,1:29:33
o25,s10,10.9911899,-74.7935717,1:15:47,1:21:15,1:26:15,1:45:47
o26,s5,11.0132414,-74.8352989,1:31:04,1:32:02,1:37:02,2:01:04
o27,s1,11.0132414,-74.8352989,1:42:07,1:42:40,1:49:40,2:11:07
o28,s4,10.98910228,-74.78982802,1:58:05,1:59:27,2:04:27,2:28:05
o29,s1,11.01614815,-74.81203906,2:03:11,2:03:48,2:10:48,2:33:11
o30,s7,11.0056411,-74.8097276,2:07:41,2:09:01,2:14:01,2:37:41
o31,s7,11.02806389,-74.86177593,2:13:02,2:14:40,2:19:40,2:43:02
o32,s5,11.0132414,-74.8352989,2:13:14,2:14:45,2:19:45,2:43:14
o33,s4,10.99168428,-74.79038626,2:17:52,2:19:22,2:24:22,2:47:52
o34,s7,11.00444453,-74.7994595,2:29:58,2:31:17,2:36:17,2:59:58
o35,s5,11.0132414,-74.8352989,2:34:02,2:36:02,2:41:02,3:04:02
o36,s5,11.0056411,-74.8097276,4:58:43,4:59:46,5:04:46,5:28:43
o37,s1,11.00444453,-74.7994595,5:25:54,5:26:27,5:33:27,5:55:54
o38,s8,10.994197,-74.819696,5:55:27,5:59:31,6:04:31,6:23:27
o39,s11,10.99698973,-74.81517155,6:21:16,6:27:47,6:32:47,6:51:16
o40,s8,11.006326,-74.810484,6:22:33,6:29:05,6:34:05,6:50:33
o41,s12,11.00149798,-74.81625851,6:23:17,6:24:28,6:39:28,6:47:17
o42,s12,10.998211,-74.800248,6:31:45,6:32:36,6:42:36,6:55:45
o43,s13,11.010851,-74.807102,6:41:10,6:42:28,7:24:28,7:23:10
o44,s14,10.98914046,-74.82246246,6:44:10,6:45:27,7:27:27,7:14:10
o45,s14,11.01283707,-74.81324438,6:44:19,6:45:55,7:27:55,7:14:19
o46,s12,10.98677997,-74.80790304,6:44:40,6:46:14,6:54:14,7:08:40
o47,s7,11.005238,-74.806328,6:46:14,6:51:46,6:56:46,7:16:14
o48,s13,10.997732,-74.7859046,6:49:54,6:50:59,7:26:59,7:34:54
o49,s14,11.01945951,-74.80999723,6:55:32,6:57:09,7:34:09,7:25:32
o50,s14,11.000976,-74.824574,7:03:40,7:04:40,7:25:40,7:33:40
o51,s14,11.0046298,-74.8302136,7:12:40,7:13:47,7:45:47,7:42:40
o52,s14,10.986248,-74.812215,7:15:24,7:16:39,7:49:39,7:45:24
o53,s15,11.0027806,-74.8257417,7:20:17,7:21:46,7:40:46,8:25:17
o54,s12,10.969529,-74.786503,7:21:19,7:22:06,7:37:06,7:45:19
o55,s14,11.0066289,-74.8045911,7:22:42,7:24:02,8:02:02,7:52:42
o56,s16,11.023717,-74.862266,7:24:17,7:25:21,7:45:21,7:54:17
o57,s17,11.010187,-74.825264,7:31:43,7:36:52,8:01:52,8:08:43
o58,s16,11.0183381,-74.8419385,7:34:43,7:35:49,7:55:49,8:04:43
o59,s18,11.0082429,-74.7988482,7:37:04,7:39:11,7:44:11,8:07:04
o60,s14,11.0187923,-74.8217459,7:40:48,7:42:07,8:03:07,8:10:48
o61,s15,11.00942821,-74.83089365,7:41:05,7:42:28,7:57:28,8:36:05
o62,s13,11.010448,-74.811699,7:43:24,7:44:53,8:15:53,8:22:24
o63,s19,11.000022,-74.814535,7:43:41,7:47:30,7:57:30,8:13:41
o64,s5,11.0122979,-74.8239383,7:44:15,7:46:00,7:51:00,8:14:15
o65,s20,11.01034,-74.810992,7:44:57,7:46:06,8:11:06,8:14:57
o66,s8,11.007886,-74.814629,7:49:05,7:59:43,8:09:43,8:16:05
o67,s21,11.018792,-74.821747,7:57:54,7:59:04,8:23:04,8:27:54
o87,s14,10.99282368,-74.81882037,8:00:36,8:01:45,8:23:45,8:30:36
o88,s15,11.014402,-74.816784,8:01:44,8:02:51,8:16:51,8:51:44
o89,s16,11.02806389,-74.86177593,8:02:31,8:03:19,8:23:19,8:32:31
o90,s5,11.0122979,-74.8239383,8:04:09,8:09:01,8:14:01,8:34:09
o91,s22,11.006765,-74.808606,8:06:31,8:07:07,8:20:07,8:36:31
o92,s23,11.00188864,-74.81061514,8:07:18,8:08:50,8:22:50,8:37:18
o93,s14,11.014402,-74.816784,8:08:51,8:09:56,8:49:56,8:38:51
o94,s24,11.0160485,-74.8214705,8:09:02,8:10:19,8:15:19,8:39:02
o95,s25,11.006067,-74.838411,8:12:50,8:14:11,8:34:11,8:42:50
o96,s17,11.010404,-74.811829,8:12:58,8:14:24,8:43:24,8:39:58
o97,s26,11.01293547,-74.79756519,8:16:36,8:17:09,8:27:09,8:42:36
o98,s14,11.0122917,-74.82393,8:17:33,8:19:31,8:39:31,8:47:33
o99,s27,11.025906,-74.861501,8:17:39,8:18:35,8:35:35,8:59:39
o100,s28,10.9165722,-74.8197241,8:18:16,8:19:34,8:29:34,8:48:16
o101,s29,11.009248,-74.81509,8:18:46,8:19:55,8:42:55,8:53:46
o102,s17,11.002068,-74.81042,8:18:49,8:20:00,8:44:00,8:55:49
o103,s30,10.9986787,-74.7955567,8:20:26,8:21:03,8:31:03,8:52:26
o104,s31,11.00618192,-74.81178668,8:21:53,8:23:01,8:43:01,8:53:53
o105,s14,11.01593193,-74.83101603,8:21:54,8:23:07,9:01:07,8:51:54
o106,s26,10.9999929,-74.8061467,8:22:17,8:22:53,8:32:53,8:48:17
o107,s5,11.0122979,-74.8239383,8:23:19,8:32:39,8:37:39,8:53:19
o108,s17,11.0057441,-74.8147967,8:26:15,8:27:19,8:51:19,9:02:15
o109,s32,11.002562,-74.83351048,8:27:06,8:27:42,8:37:42,8:57:06
o110,s33,11.0010703,-74.804214,8:32:04,8:33:21,9:18:21,9:00:04
