store_id,pick_up_lat,pick_up_lng
s1,11.005831,-74.793654
s2,11.004875,-74.817183
s3,11.00480511,-74.82692608
s4,11.021862,-74.811969
s5,11.011667,-74.806478
s6,11.00385,-74.80846
s7,10.991539,-74.793444
s8,10.99445851,-74.81166121
s9,10.989258,-74.801483
s10,11.008924,-74.825465
s11,10.988193,-74.797919
s12,11.01679682,-74.81058379
s13,11.008581,-74.825582
s14,11.02410942,-74.81222714
s15,11.00199019,-74.82784679
s16,11.009985,-74.812551
s17,10.9969722,-74.8172806
s18,11.002444,-74.821036
s19,11.0031934,-74.8104183
s20,10.983004,-74.793561
s21,11.004988,-74.82706
s22,11.009937,-74.812539
s23,11.01294804,-74.80888872
s24,11.005208,-74.817583
s25,10.990901,-74.807662
s26,11.00400215,-74.8124962
s27,11.000802,-74.806203
s28,11.00058623,-74.80903431
s29,11.00374338,-74.81766657
s30,10.995796,-74.80181
s31,11.003193,-74.809796
s32,10.991946,-74.814688
s33,11.00728073,-74.81635984
s34,11.01506517,-74.82666979
s35,11.0015957,-74.8048809
s36,11.016808,-74.824119
s37,11.018583,-74.864757
s38,11.00199019,-74.82784679
s39,11.008481,-74.817902
s40,11.002559,-74.827875
s41,11.00790012,-74.81731133
s42,11.0011489,-74.80821128
s43,11.025556,-74.862028
s44,11.01555345,-74.82973668
s45,11.004728,-74.814366
s46,11.00677567,-74.8028888
s47,11.00335193,-74.80301421
s48,11.000471,-74.825192
s49,10.990374,-74.805045
s50,11.000827,-74.81319
s51,10.998947,-74.814633
s52,11.008103,-74.817583
s53,11.00691487,-74.82604042
s54,11.005361,-74.813372
s55,11.014679,-74.826008
s56,10.98945867,-74.81258402
s57,11.008717,-74.818175
s58,11.00848316,-74.82142793
s59,10.999593,-74.810212
s60,11.00641945,-74.82885525
s61,11.0138571,-74.80980351
s62,11.015564,-74.829614
s63,11.004358,-74.8065953
s64,10.99331971,-74.80910406
s65,11.001141,-74.817803
s66,11.003581,-74.82385
s67,11.020689,-74.816767
s68,11.004725,-74.815198
s69,11.0106092,-74.8192398
s70,11.01517709,-74.82738671
s71,10.999115,-74.810063
s72,11.0005798,-74.7970019
s73,11.01534565,-74.8262951
s74,10.99738642,-74.81858991
s75,11.008289,-74.821703
s76,10.9996617,-74.8196399
s77,10.992768,-74.808824
s78,10.9855088,-74.81337
s79,10.991865,-74.811721
s80,11.023994,-74.806532
s81,11.001353,-74.825417
s82,11.01839571,-74.8348495
s83,11.001228,-74.828277
s84,11.00828209,-74.82152532
s85,11.002476,-74.821344
s86,11.0152902,-74.82769164
s87,11.005161,-74.802396
s88,10.98928963,-74.81335921
s89,11.018378,-74.86463363
s90,11.004419,-74.806628
s91,11.00667263,-74.81400112
s92,11.009799,-74.805661
s93,11.01317349,-74.82772362
s94,11.013783,-74.836493
s95,11.00429838,-74.80652565
s96,11.002301,-74.825729
s97,11.012362,-74.827432
s98,11.00238,-74.825718
