order_id,store_id,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
o1,s1,4.677759024,-74.09261193,0:02:22,0:03:16,0:18:16,0:32:22
o2,s2,4.648538,-74.058684,0:03:04,0:03:56,0:33:56,0:33:04
o3,s3,4.7160582,-74.1034662,0:03:12,0:04:14,0:09:14,1:03:12
o4,s2,4.611798,-74.066588,0:05:00,0:06:02,0:36:02,0:35:00
o5,s3,4.759221,-74.046104,0:05:27,0:06:14,0:11:14,1:05:27
o6,s2,4.6357692,-74.0606263,0:07:35,0:08:24,0:43:24,0:37:35
o7,s4,4.653429,-74.051783,0:07:42,0:08:43,0:38:43,0:37:42
o8,s5,4.6956275,-74.0804517,0:08:06,0:09:15,0:24:15,0:33:06
o9,s6,4.7390173,-74.0980458,0:08:58,0:10:22,0:25:22,0:35:58
o10,s7,4.727709,-74.032565,0:10:30,0:11:38,0:33:38,0:40:30
o11,s8,4.6416257,-74.148092,0:10:38,0:11:21,0:31:21,0:33:38
o12,s9,4.626255,-74.1183917,0:15:26,0:16:52,0:37:52,0:45:26
o13,s10,4.7510313,-74.0547531,0:15:54,0:16:54,0:21:54,0:45:54
o14,s11,4.650144,-74.058411,0:17:20,0:18:13,0:38:13,0:47:20
o15,s12,4.7205903,-74.0349696,0:17:40,0:18:38,0:28:38,0:44:40
o16,s13,4.677799,-74.055224,0:17:43,0:18:39,0:25:39,0:47:43
o17,s3,4.7202298,-74.0919216,0:17:56,0:18:45,0:23:45,1:17:56
o18,s14,4.7095039,-74.1328167,0:18:05,0:19:24,0:36:24,0:48:05
o19,s4,4.6620102,-74.0695135,0:18:53,0:19:50,0:44:50,0:48:53
o20,s15,4.746228,-74.0622427,0:19:38,0:20:49,1:00:49,0:49:38
o21,s4,4.642609,-74.062252,0:22:58,0:24:14,0:54:14,0:52:58
o22,s16,4.696263522,-74.04125635,0:23:21,0:23:54,0:29:54,0:53:21
o23,s17,4.643616129,-74.05885935,0:23:37,0:24:37,0:54:37,0:53:37
o24,s18,4.6667398,-74.0671515,0:25:11,0:26:28,0:41:28,0:55:11
o25,s19,4.6994024,-74.0312345,0:26:21,0:27:24,1:02:24,0:56:21
o26,s16,4.7206198,-74.0484751,0:28:49,0:29:26,0:35:26,0:58:49
