store_id,pick_up_lat,pick_up_lng
s1,3.366367,-76.530618
s2,3.402337,-76.526587
s3,3.403688122,-76.53427572
s4,3.461352,-76.531825
s5,3.422228,-76.541262
s6,3.432901,-76.543776
s7,3.462128,-76.532539
s8,3.462099811,-76.53190431
s9,3.478603443,-76.52248599
s10,3.431775,-76.538941
s11,3.480488,-76.524805
s12,3.38960698,-76.52852186
s13,3.422651,-76.538379
s14,3.46878905,-76.52890218
s15,3.388054,-76.53889
s16,3.424064,-76.544266
s17,3.437955,-76.526136
s18,3.452574,-76.530055
s19,3.385001,-76.524302
s20,3.402756713,-76.52885021
s21,3.453454,-76.549681
s22,3.475527,-76.526513
s23,3.454421776,-76.52636363
s24,3.435201,-76.545165
s25,3.484294,-76.526136
s26,3.436702,-76.545522
s27,3.4261854,-76.5382309
s28,3.431436,-76.539125
s29,3.486661477,-76.51752249
s30,3.407682677,-76.54743818
s31,3.469412,-76.530348
s32,3.4521,-76.547129
s33,3.474966,-76.526772
s34,3.375787044,-76.53742401
s35,3.421286,-76.542207
s36,3.476692761,-76.52481572
s37,3.47034353,-76.52878223
s38,3.413650805,-76.54718585
s39,3.4221873,-76.5412738
s40,3.380738,-76.525347
s41,3.369155,-76.542355
s42,3.363721846,-76.53300803
s43,3.373882,-76.538773
s44,3.475559,-76.528285
s45,3.452041,-76.549233
s46,3.451862,-76.543033
s47,3.491745,-76.522902
s48,3.48704,-76.517273
s49,3.479636,-76.527079
s50,3.469029082,-76.51120612
s51,3.36919856,-76.52774422
s52,3.369477899,-76.52743205
s53,3.408584908,-76.54689321
s54,3.467939984,-76.53214699
s55,3.453672,-76.549451
s56,3.45041978,-76.53909767
s57,3.453697,-76.546848
s58,3.433928,-76.541452
s59,3.450188,-76.543191
s60,3.414165,-76.546937
s61,3.3968882,-76.544142
s62,3.42664,-76.545489
s63,3.452151,-76.547165
s64,3.528358,-76.316795
s65,3.367739,-76.536986
s66,3.387687297,-76.53584765
s67,3.370791,-76.539106
s68,3.475995,-76.527832
s69,3.464625688,-76.50158858
s70,3.464941961,-76.51315409
s71,3.45011,-76.552786
s72,3.41671,-76.536807
s73,3.375093824,-76.53833891
s74,3.364523,-76.533501
s75,3.436101,-76.529957
s76,3.343461,-76.534817
s77,3.423342,-76.540975
s78,3.45929,-76.534552
s79,3.464998626,-76.50051487
