courier_id,vehicle,on_lat,on_lng,on_time,off_time
c1,motorcycle,7.116535089,-73.10049802,00:00:01,23:58:00
c2,motorcycle,7.07311785,-73.10221463,00:00:01,22:30:01
c3,bicycle,7.097078569,-73.11394662,00:00:01,23:58:00
c4,motorcycle,7.068856984,-73.08589607,00:00:01,18:46:03
c5,motorcycle,6.968732963,-73.04217607,00:00:01,20:10:02
c6,motorcycle,7.087106976,-73.11028272,00:00:01,23:17:01
c7,motorcycle,7.13388272,-73.11786264,00:00:01,23:58:00
c8,motorcycle,7.175799404,-73.1323573,00:00:01,22:32:01
c9,walking,7.117485609,-73.11227828,00:00:01,22:18:01
c10,motorcycle,7.069221984,-73.10537964,00:00:01,23:58:00
c11,motorcycle,7.128600361,-73.10689777,00:00:01,22:25:01
c12,walking,7.080466007,-73.10786337,00:00:01,23:56:00
c13,motorcycle,7.09261239,-73.10600728,00:00:01,23:49:00
c14,motorcycle,7.1289755,-73.12450379,00:00:01,23:39:00
c15,motorcycle,7.091469231,-73.11242312,00:00:01,21:06:02
c16,motorcycle,7.056735947,-73.08390051,00:00:01,23:58:00
c17,motorcycle,7.106122454,-73.11703652,00:00:01,23:43:00
c18,motorcycle,7.177621869,-73.13651472,00:00:01,21:57:01
c19,bicycle,7.071460142,-73.11430603,00:00:01,21:53:01
c20,motorcycle,7.118590748,-73.11571687,00:00:01,23:58:00
c21,motorcycle,7.107678773,-73.1151858,00:00:01,23:58:00
c22,motorcycle,7.068535074,-73.08781654,00:00:01,21:52:01
c23,motorcycle,7.068390595,-73.10439795,00:00:01,23:41:00
c24,motorcycle,7.063724173,-73.0954662,00:00:01,14:51:01
c25,motorcycle,6.995175174,-73.05709988,00:00:01,21:06:02
c26,motorcycle,7.072631184,-73.15095574,00:00:01,23:58:00
c27,motorcycle,7.080017361,-73.08531135,00:00:01,20:48:02
c28,bicycle,7.099554992,-73.12443942,00:00:01,23:58:00
c29,motorcycle,7.091241106,-73.13383788,00:00:01,04:19:00
c30,motorcycle,7.10079447,-73.17168921,00:00:01,17:51:02
c31,motorcycle,7.073100107,-73.10207516,00:00:01,23:58:00
c32,motorcycle,7.129150396,-73.12460035,00:00:01,23:53:00
c33,motorcycle,7.127530709,-73.12132269,00:00:01,17:56:02
c34,walking,6.989477121,-73.05816203,00:00:01,23:58:00
c35,bicycle,7.117353804,-73.1148693,00:00:01,23:58:00
c36,motorcycle,7.072524725,-73.10246676,00:00:01,23:22:00
c37,motorcycle,7.068684623,-73.10482174,00:00:01,23:39:00
c38,motorcycle,7.1289755,-73.1244877,00:00:01,23:58:00
c39,motorcycle,7.07938875,-73.10174257,00:00:01,21:18:01
c40,motorcycle,7.091165065,-73.11241239,00:00:01,18:35:02
c41,motorcycle,7.072400524,-73.10504168,00:00:01,23:43:00
c42,motorcycle,7.077720904,-73.12374741,00:00:01,19:05:03
c43,bicycle,7.075969411,-73.11976701,00:00:01,08:52:00
c44,motorcycle,7.113141097,-73.13195497,00:00:01,03:20:00
c45,bicycle,7.071746566,-73.15753788,00:00:01,00:02:00
c46,motorcycle,7.073911218,-73.09980065,00:00:01,23:35:00
c47,motorcycle,7.068694762,-73.10463935,00:00:01,23:58:00
