order_id,store_id,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
o1,s1,10.994731,-74.800124,0:01:46,0:02:56,0:17:56,0:30:46
o2,s1,10.9994128,-74.8245086,0:04:31,0:06:04,0:21:04,0:33:31
o3,s2,11.008687,-74.812508,0:05:31,0:06:06,0:13:06,0:35:31
o5,s2,11.01588935,-74.80568071,0:12:31,0:13:16,0:20:16,0:42:31
o4,s3,11.01588935,-74.80568071,0:12:31,0:13:38,0:43:38,0:59:31
o6,s4,11.007589,-74.838071,0:14:11,0:15:21,0:31:21,0:44:11
o7,s2,11.00792584,-74.80850056,0:14:28,0:15:03,0:22:03,0:44:28
o8,s5,11.01226048,-74.82061408,0:19:18,0:20:10,0:48:10,0:49:18
o9,s2,11.0176103,-74.824756,0:23:22,0:24:02,0:31:02,0:52:22
o10,s5,10.97882309,-74.80755944,0:23:25,0:24:59,0:51:59,0:53:25
o11,s4,10.9743058,-74.798656,0:26:04,0:27:25,0:47:25,1:01:04
o12,s5,11.0120568,-74.8272054,0:27:05,0:27:46,0:54:46,0:57:05
o13,s6,11.0187038,-74.8009084,0:29:50,0:31:57,0:36:57,0:59:50
o14,s2,11.0071679,-74.80590103,0:31:12,0:31:49,0:38:49,1:01:12
o15,s7,11.0091927,-74.8332228,0:31:51,0:32:55,1:07:55,1:01:51
o16,s8,11.00216745,-74.80426867,0:35:59,0:36:56,0:51:56,1:09:59
o17,s7,11.0024846,-74.8114464,0:40:21,0:41:24,1:01:24,1:10:21
o18,s1,10.990202,-74.797998,0:46:23,0:47:50,1:07:50,1:15:23
o19,s1,10.9936575,-74.7931032,0:49:15,0:50:17,1:10:17,1:18:15
o20,s9,11.004815,-74.835837,0:53:34,0:54:29,1:08:29,1:23:34
o21,s2,11.01158,-74.817772,0:57:29,0:58:07,1:05:07,1:26:29
o22,s9,11.0162339,-74.8276701,0:58:28,0:59:38,1:12:38,1:28:28
o23,s7,11.0100801,-74.8360287,0:59:10,1:00:12,1:30:12,1:29:10
o24,s8,10.9780326,-74.7868361,1:05:22,1:06:24,1:21:24,1:39:22
o25,s1,11.0133346,-74.8320879,1:11:53,1:12:41,1:32:41,1:40:53
o26,s2,11.018088,-74.862664,1:17:32,1:18:10,1:25:10,1:47:32
o27,s2,10.9911934,-74.8114137,1:25:34,1:26:10,1:33:10,1:55:34
o28,s4,11.019307,-74.804233,1:35:39,1:37:15,1:53:15,2:10:39
