order_id,store_id,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
o1,s1,4.6358484,-74.1253431,0:00:21,0:01:08,0:31:08,0:30:21
o2,s2,4.6332599,-74.0670836,0:00:40,0:02:14,0:17:14,0:30:40
o3,s3,4.677162,-74.045471,0:02:04,0:03:21,0:28:21,0:32:04
o4,s4,4.7235014,-74.0284821,0:02:30,0:03:06,0:13:06,1:02:30
o5,s5,4.70023,-74.0865811,0:02:31,0:05:17,0:20:17,0:32:31
o6,s6,4.632895694,-74.09176033,0:02:39,0:03:27,0:08:27,1:02:39
o7,s7,4.716682158,-74.11396869,0:03:13,0:04:17,0:29:17,0:33:13
o8,s8,4.6441897,-74.058492,0:04:34,0:05:49,0:28:49,0:27:34
o9,s9,4.694105,-74.038886,0:04:41,0:05:46,0:41:46,0:34:41
o10,s10,4.623671914,-74.13154989,0:06:19,0:07:21,0:12:21,1:06:19
o11,s11,4.706844318,-74.0520338,0:07:04,0:07:49,0:17:49,0:42:04
o12,s12,4.638902232,-74.07313038,0:07:57,0:08:38,0:13:38,0:37:57
o13,s13,4.671145,-74.061183,0:08:44,0:09:42,0:16:42,0:38:44
o14,s14,4.7287667,-74.0963108,0:12:02,0:13:47,0:53:47,0:42:02
o15,s4,4.75089432,-74.09917848,0:14:10,0:14:52,0:24:52,1:14:10
o16,s15,4.677279171,-74.06539757,0:15:28,0:16:38,0:31:38,0:41:28
o17,s16,4.736791303,-74.08966922,0:15:43,0:17:26,0:35:26,0:45:43
o18,s17,4.7060964,-74.057792,0:15:43,0:16:22,0:22:22,0:45:43
o19,s4,4.704793,-74.0672335,0:15:56,0:16:36,0:26:36,1:15:56
o20,s18,4.7248938,-74.0649138,0:16:35,0:17:43,0:52:43,0:45:35
o21,s19,4.6764822,-74.0661023,0:17:13,0:19:05,0:34:05,0:47:13
o22,s20,4.6083587,-74.1486727,0:17:29,0:18:43,0:33:43,0:47:29
o23,s21,4.731863,-74.035431,0:19:05,0:20:09,0:42:09,0:49:05
o24,s22,4.6675689,-74.1439419,0:19:30,0:20:45,0:52:45,0:56:30
o25,s23,4.696278559,-74.02993675,0:21:29,0:23:08,0:28:08,0:51:29
o26,s17,4.6987347,-74.0490484,0:23:20,0:23:57,0:29:57,0:53:20
o27,s24,4.658104497,-74.06530302,0:23:38,0:24:48,0:46:48,0:53:38
o28,s10,4.6218507,-74.1072871,0:23:45,0:24:21,0:29:21,1:23:45
o29,s25,4.7024329,-74.0319454,0:26:08,0:27:16,0:33:16,1:00:08
o30,s17,4.7193434,-74.0329085,0:26:22,0:26:59,0:32:59,0:56:22
o31,s26,4.727910532,-74.02617227,0:28:08,0:29:25,0:54:25,0:58:08
o32,s27,4.666382,-74.135831,0:28:13,0:29:12,0:46:12,1:01:13
o33,s28,4.7249099,-74.088161,0:28:59,0:30:24,0:42:24,0:57:59
o34,s29,4.6522604,-74.0820069,0:29:29,0:30:51,1:00:51,0:59:29
o35,s30,4.6996411,-74.0589608,0:30:26,0:31:55,0:57:55,1:00:26
o36,s10,4.721318927,-74.13293618,0:32:55,0:33:51,0:38:51,1:32:55
o37,s13,4.675573284,-74.06850558,0:34:25,0:35:27,0:42:27,1:04:25
o38,s17,4.718964,-74.048682,0:34:43,0:35:19,0:41:19,1:04:43
o39,s4,4.7553315,-74.0241335,0:37:50,0:38:36,0:48:36,1:37:50
o40,s23,4.719393,-74.03347,0:45:17,0:46:42,1:01:42,1:15:17
o41,s10,4.6291989,-74.1066164,0:48:02,0:48:52,0:53:52,1:48:02
o42,s4,4.749703495,-74.0597894,0:49:28,0:50:06,1:00:06,1:49:28
o43,s31,4.612504699,-74.15232595,0:49:57,0:51:41,0:56:41,1:19:57
o44,s13,4.7065244,-74.0579701,0:52:49,0:53:55,1:00:55,1:22:49
o45,s17,4.688805243,-74.02800087,1:00:39,1:01:16,1:07:16,1:30:39
o46,s12,4.643205553,-74.0903516,1:01:08,1:02:09,1:07:09,1:31:08
o47,s32,4.690167,-74.055538,1:03:31,1:04:09,1:09:09,1:33:31
o48,s4,4.740324,-74.056261,1:03:56,1:04:36,1:14:36,2:03:56
o49,s4,4.7450983,-74.0961057,1:04:35,1:05:23,1:15:23,2:04:35
o50,s10,4.652836642,-74.09959808,1:09:30,1:10:22,1:15:22,2:09:30
o51,s4,4.740324,-74.056261,1:10:17,1:10:53,1:20:53,2:10:17
o52,s19,4.636795,-74.0662713,1:10:57,1:12:12,1:29:12,1:40:57
o53,s10,4.653209577,-74.08968799,1:14:54,1:15:52,1:20:52,2:14:54
o54,s33,4.655147098,-74.07896183,1:15:59,1:17:49,1:32:49,1:45:59
o55,s34,4.736876326,-74.04379841,1:16:25,1:17:29,1:39:29,1:46:25
o56,s35,4.635486,-74.093958,1:19:29,1:20:41,1:32:41,1:49:29
o57,s10,4.63178354,-74.14115958,1:20:27,1:21:22,1:26:22,2:20:27
o58,s5,4.6933727,-74.0610003,1:21:00,1:22:40,1:37:40,1:51:00
o59,s12,4.6329259,-74.0802261,1:22:35,1:23:39,1:28:39,1:52:35
o60,s17,4.688317377,-74.06910036,1:24:51,1:25:28,1:31:28,1:54:51
o61,s27,4.663984,-74.1340542,1:28:30,1:29:12,1:46:12,2:01:30
o62,s12,4.681744531,-74.05100215,1:30:53,1:31:39,1:36:39,2:00:53
o63,s17,4.6852064,-74.0465872,1:31:33,1:32:08,1:38:08,2:01:33
o64,s4,4.7508531,-74.0668831,1:35:12,1:35:53,1:45:53,2:35:12
o65,s13,4.654216767,-74.06192813,1:35:38,1:36:50,1:56:50,2:05:38
o66,s12,4.622805,-74.0720125,1:35:41,1:36:39,1:41:39,2:05:41
o67,s36,4.715286,-74.039742,1:36:26,1:38:23,2:03:23,2:21:26
o68,s37,4.63152054,-74.07558996,1:38:47,1:39:28,1:44:28,2:38:47
o69,s5,4.729007,-74.045587,1:40:03,1:43:31,3:43:31,2:10:03
o70,s6,4.639016521,-74.06014245,1:42:53,1:43:58,1:48:58,2:42:53
o71,s13,4.655009725,-74.0586267,1:44:33,1:45:45,1:52:45,2:14:33
o72,s38,4.653464883,-74.06849619,1:44:50,1:45:57,2:05:57,2:10:50
o73,s39,4.6429666,-74.1469479,1:45:38,1:46:26,1:51:26,2:45:38
o74,s10,4.624481643,-74.11614161,1:52:48,1:53:52,1:58:52,2:52:48
o76,s17,4.700863,-74.079995,2:00:22,2:00:58,2:06:58,2:30:22
o77,s24,4.6666638,-74.067073,2:05:13,2:06:31,2:36:31,2:35:13
o78,s19,4.6788676,-74.052616,2:05:51,2:07:06,2:22:06,2:35:51
o79,s12,4.673878421,-74.05074755,2:09:57,2:10:39,2:15:39,2:39:57
o80,s34,4.7207363,-74.0332713,2:13:27,2:14:35,2:39:35,2:43:27
o81,s10,4.665136709,-74.13404167,2:20:39,2:21:23,2:26:23,3:20:39
o82,s17,4.723743518,-74.07047465,2:23:13,2:23:51,2:29:51,2:53:13
o83,s4,4.7450983,-74.0961057,2:23:55,2:24:36,2:34:36,3:23:55
o84,s1,4.6026533,-74.1431075,2:28:08,2:29:14,2:54:14,2:58:08
o85,s4,4.69098,-74.04451,2:30:33,2:31:24,2:41:24,3:30:33
o86,s12,4.678338456,-74.09023684,2:34:06,2:35:10,2:40:10,3:04:06
o87,s40,4.6218219,-74.1523171,2:35:50,2:40:27,2:45:27,3:05:50
o88,s4,4.727657,-74.043874,2:39:03,2:39:38,2:49:38,3:39:03
o89,s41,4.7249099,-74.088161,2:43:28,2:44:41,3:14:41,3:13:28
o90,s10,4.660655,-74.111126,2:55:54,2:56:53,3:01:53,3:55:54
o91,s24,4.6607687,-74.0658738,2:58:22,2:59:27,3:24:27,3:28:22
o92,s10,4.627135399,-74.15039577,3:06:41,3:07:23,3:12:23,4:06:41
o93,s4,4.7249099,-74.088161,3:16:25,3:17:06,3:27:06,4:16:25
o94,s13,4.68493981,-74.04688754,3:31:58,3:32:44,3:39:44,4:01:58
o95,s29,4.650742496,-74.05606353,3:45:36,3:46:51,4:31:51,4:15:36
o96,s42,4.674627,-74.1091946,3:57:58,3:58:37,4:06:37,4:27:58
o97,s42,4.672525734,-74.10949811,4:18:21,4:18:53,4:26:53,4:48:21
o98,s12,4.651541,-74.051758,4:20:48,4:21:41,4:26:41,4:50:48
o99,s42,4.6490461,-74.079957,4:44:17,4:44:57,4:52:57,5:14:17
o100,s43,4.695985006,-74.11617393,5:11:29,5:13:03,5:43:03,5:41:29
o101,s44,4.7220243,-74.0953294,5:14:03,5:15:31,5:55:31,5:44:03
o102,s10,4.660655,-74.111126,5:19:48,5:20:24,5:25:24,6:19:48
o103,s4,4.7450983,-74.0961057,5:20:33,5:21:25,5:31:25,6:20:33
o104,s45,4.6376938,-74.0958446,6:06:27,6:10:56,6:15:56,6:36:27
o105,s46,4.663694,-74.051154,6:12:55,6:14:23,6:39:23,6:42:55
o106,s47,4.6811532,-74.0508873,6:19:47,6:20:24,6:37:24,6:49:47
o107,s4,4.7065892,-74.0310965,6:20:43,6:21:26,6:31:26,7:20:43
o108,s48,4.660118,-74.063169,6:21:40,6:22:15,6:47:15,6:51:40
o109,s48,4.6194694,-74.0835466,6:22:21,6:23:00,6:50:00,6:52:21
o110,s49,4.704018778,-74.05594714,6:22:42,6:23:19,6:43:19,6:52:42
o111,s50,4.722321,-74.027761,6:27:08,6:27:58,6:52:58,6:57:08
o112,s49,4.747453,-74.05871,6:31:19,6:31:55,6:57:55,7:01:19
