courier_id,vehicle,on_lat,on_lng,on_time,off_time
c1,motorcycle,6.264311141,-75.56530327,0:00:00,3:51:00
c2,bicycle,6.238702853,-75.54919928,0:00:00,22:16:01
c3,walking,6.244806461,-75.58939487,0:00:00,23:58:00
c4,walking,6.152598375,-75.61923712,0:00:00,0:23:00
c5,motorcycle,6.236299937,-75.54520816,0:00:00,23:37:00
c6,car,6.332637084,-75.53848654,0:00:00,23:58:00
c7,motorcycle,6.163675106,-75.64200372,0:00:00,23:15:00
c8,motorcycle,6.246058613,-75.56549639,0:00:00,23:55:00
c9,motorcycle,6.34012465,-75.567213,0:00:00,19:07:06
c10,car,6.2812228,-75.62233239,0:00:00,17:16:03
c11,motorcycle,6.207006165,-75.5877158,0:00:00,23:58:00
c12,bicycle,6.252390347,-75.60167402,0:00:00,3:53:00
c13,motorcycle,6.199974848,-75.57336599,0:00:00,21:42:02
c14,motorcycle,6.249564133,-75.58898717,0:00:00,23:58:00
c15,walking,6.262524162,-75.60401827,0:00:00,16:09:05
c16,walking,6.24649712,-75.59473783,0:00:00,23:05:00
c17,bicycle,6.23986122,-75.5507496,0:00:00,2:01:00
c18,bicycle,6.240809206,-75.5593273,0:00:00,20:50:04
c19,motorcycle,6.255173471,-75.60365349,0:00:00,21:22:03
c20,motorcycle,6.272984956,-75.55945605,0:00:00,18:35:03
c21,motorcycle,6.306689144,-75.56639761,0:00:00,3:00:00
c22,motorcycle,6.231633515,-75.61564296,0:00:00,23:58:00
c23,motorcycle,6.159470004,-75.5836764,0:00:00,23:58:00
c24,bicycle,6.239884033,-75.58915347,0:00:00,2:28:00
c25,motorcycle,6.143075427,-75.61439842,0:00:00,0:14:00
c26,motorcycle,6.179570343,-75.64865559,0:00:00,23:58:00
c27,motorcycle,6.16046108,-75.59557468,0:00:00,23:56:00
c28,bicycle,6.152631326,-75.61926931,0:00:00,0:02:00
c29,car,6.178107809,-75.5704692,0:00:00,23:58:00
c30,bicycle,6.244299517,-75.60701698,0:00:00,21:12:02
c31,bicycle,6.342512358,-75.54744512,0:00:00,17:08:02
c32,motorcycle,6.183707008,-75.65455645,0:00:00,23:58:00
c33,bicycle,6.274049539,-75.57360739,0:00:00,21:06:03
c34,motorcycle,6.251880868,-75.6179443,0:00:00,23:58:00
c35,bicycle,6.296167516,-75.58658928,0:00:00,11:26:04
c36,motorcycle,6.27090395,-75.59475929,0:00:00,22:22:01
c37,motorcycle,6.245800072,-75.58368713,0:00:00,0:31:00
c38,motorcycle,6.290041095,-75.55431694,0:00:00,0:19:00
c39,bicycle,6.25136125,-75.6243816,0:00:00,15:04:04
c40,walking,6.260691559,-75.60652882,0:00:00,2:30:00
c41,motorcycle,6.273104088,-75.59942096,0:00:00,23:58:00
c42,bicycle,6.161376114,-75.62396854,0:00:00,12:22:04
c43,motorcycle,6.198692279,-75.56221873,0:00:00,23:43:00
c44,motorcycle,6.249936737,-75.59957653,0:00:00,23:58:00
c45,motorcycle,6.286558388,-75.5943194,0:00:00,7:45:01
c46,bicycle,6.260291073,-75.58173448,0:00:00,0:15:00
c47,bicycle,6.178556454,-75.60738176,0:00:00,18:10:05
c48,bicycle,6.229656433,-75.60532182,0:00:00,3:25:00
c49,motorcycle,6.246672016,-75.60261816,0:00:00,23:58:00
c50,motorcycle,6.270244923,-75.60805768,0:00:00,1:22:00
c51,bicycle,6.24727021,-75.58900863,0:00:00,17:18:03
c52,car,6.160534587,-75.59561223,0:00:00,23:58:00
c53,motorcycle,6.246710037,-75.60248405,0:00:00,15:04:04
c54,bicycle,6.150421049,-75.61637789,0:00:00,23:58:00
c55,bicycle,6.275248462,-75.60287565,0:00:00,23:58:00
c56,bicycle,6.169390903,-75.61682314,0:00:00,23:58:00
c57,motorcycle,6.168757222,-75.59351474,0:00:00,23:56:00
c58,motorcycle,6.15577945,-75.58413774,0:00:00,9:02:02
c59,bicycle,6.255906005,-75.61691433,0:00:00,23:40:01
c60,motorcycle,6.331387467,-75.53413063,0:00:00,23:10:01
c61,bicycle,6.15023348,-75.61846465,0:00:00,17:18:04
c62,motorcycle,6.204164742,-75.57115048,0:00:00,22:13:01
c63,motorcycle,6.234657438,-75.55108219,0:00:00,21:33:03
c64,motorcycle,6.198144779,-75.5751577,0:00:00,23:58:00
c65,motorcycle,6.183342008,-75.64984113,0:00:00,23:58:00
c66,walking,6.208083421,-75.56506187,0:00:00,23:19:00
c67,bicycle,6.338251491,-75.54783672,0:00:00,23:58:00
c68,motorcycle,6.199946966,-75.57317823,0:00:00,23:58:00
c69,motorcycle,6.284528077,-75.55210143,0:00:00,18:35:03
c70,motorcycle,6.249787188,-75.59404045,0:00:00,23:36:00
c71,motorcycle,6.35585513,-75.49423009,0:00:00,2:44:00
c72,motorcycle,4.593042744,-74.15605992,0:00:00,23:32:00
c73,bicycle,6.177461455,-75.64567298,0:00:00,17:40:05
c74,motorcycle,6.190360651,-75.56766897,0:00:00,23:58:00
c75,motorcycle,6.159277365,-75.58260888,0:00:00,20:28:04
c76,motorcycle,6.231874314,-75.60716718,0:00:00,23:58:00
c77,bicycle,6.30908699,-75.5745998,0:00:00,20:36:05
c78,car,6.246109308,-75.6122902,0:00:00,19:26:04
c79,motorcycle,6.295860815,-75.5719015,0:00:00,20:20:05
c80,walking,6.279172211,-75.5816111,0:00:00,22:10:01
c81,motorcycle,6.168039896,-75.60724765,0:00:00,23:51:00
c82,walking,6.262412634,-75.60399681,0:00:00,15:56:03
c83,motorcycle,6.169200798,-75.62492877,0:00:00,8:00:01
c84,motorcycle,6.157340838,-75.58273762,0:00:00,23:58:00
c85,motorcycle,6.152641465,-75.60074598,0:00:00,23:05:00
c86,motorcycle,6.287511443,-75.54777235,0:00:00,20:13:03
c87,motorcycle,6.191792768,-75.59283882,0:00:00,16:38:07
c88,motorcycle,6.24104747,-75.56888133,0:00:00,3:16:00
c89,motorcycle,6.179154648,-75.58291465,0:00:00,23:58:00
c90,bicycle,6.237481117,-75.59649736,0:00:00,20:45:04
c91,motorcycle,6.244758302,-75.58957189,0:00:00,23:58:00
c92,motorcycle,6.340335032,-75.54270834,0:00:00,23:58:00
