store_id,pick_up_lat,pick_up_lng
s1,7.105727004,-73.10663844
s2,7.073233,-73.10216
s3,7.105847,-73.106591
s4,7.115105,-73.108987
s5,7.095631,-73.107546
s6,7.075092,-73.10871
s7,7.070663,-73.104642
s8,7.118402,-73.111466
s9,7.120114,-73.112486
s10,7.121167,-73.111706
s11,7.119952,-73.109382
s12,7.071194,-73.106761
s13,7.108292015,-73.10630062
s14,7.118378,-73.116345
s15,7.119747,-73.109099
s16,7.114228,-73.109124
s17,7.120858,-73.121082
s18,7.069060664,-73.1049417
s19,7.118037681,-73.11115534
s20,7.099115578,-73.10878663
s21,7.068763856,-73.10658658
s22,7.120705,-73.123454
s23,7.118833,-73.112102
s24,7.115863,-73.120484
s25,7.113606569,-73.10938463
s26,7.085249,-73.114293
s27,7.129471746,-73.12199556
s28,7.120008985,-73.11548784
s29,7.1147535,-73.1089704
s30,7.085665522,-73.11357778
s31,7.111322,-73.107944
s32,7.101651404,-73.1229243
s33,7.0900587,-73.1070363
s34,7.111732115,-73.11229915
s35,7.123557,-73.110554
s36,7.123504905,-73.11519232
s37,7.12313,-73.110625
s38,7.12005701,-73.11015966
s39,7.119708,-73.114211
s40,7.088049377,-73.10948119
s41,7.115156785,-73.1088008
s42,7.130732,-73.112602
s43,7.123007019,-73.10889099
s44,7.068535,-73.104508
s45,7.070937,-73.106921
s46,7.130977,-73.118017
s47,7.121791,-73.112045
s48,7.069615,-73.106851
s49,7.126334,-73.12094
s50,7.120701399,-73.1116304
s51,7.10985,-73.110003
s52,7.072029,-73.105133
s53,7.11926,-73.111419
s54,7.098572617,-73.1069801
s55,7.069489676,-73.10583855
s56,7.113566459,-73.12316549
s57,7.071677,-73.105193
s58,7.099273,-73.115188
s59,7.116716,-73.110645
s60,7.099663,-73.107363
s61,7.071781,-73.104995
s62,7.071739,-73.1049946
s63,7.122147,-73.113894
s64,7.069558145,-73.1070273
s65,7.136475643,-73.12032181
s66,7.115401085,-73.10812525
s67,7.069387,-73.106283
s68,7.109998,-73.108064
s69,7.1200613,-73.1272015
s70,7.07044,-73.105362
s71,7.114431,-73.111926
s72,7.099718,-73.107334
s73,7.069746458,-73.10691429
s74,7.127291,-73.122269
s75,7.10954,-73.106201
s76,7.068893,-73.104817
s77,7.114941,-73.113939
s78,7.130426,-73.112129
s79,7.119746,-73.109097
s80,7.100243429,-73.10710122
s81,7.113827,-73.123542
s82,7.067837,-73.107367
s83,7.112663,-73.10758
s84,7.124835,-73.112314
s85,7.099205,-73.107135
s86,7.113275,-73.109322
s87,7.114258,-73.108351
s88,7.122521,-73.113777
s89,7.080769,-73.115221
s90,7.071733,-73.105166
s91,7.070005,-73.106265
s92,7.117503,-73.11686
s93,7.113034423,-73.11869482
s94,7.103874,-73.123178
s95,7.118558,-73.104594
