courier_id,vehicle,on_lat,on_lng,on_time,off_time
c1,motorcycle,3.457373602,-76.53177828,0:00:00,23:55:00
c2,motorcycle,3.456618255,-76.53433174,0:00:00,23:58:00
c3,motorcycle,3.456691762,-76.53428882,0:00:00,23:58:00
c4,motorcycle,3.365819474,-76.53058738,0:00:00,8:36:01
c5,bicycle,3.371461763,-76.52020723,0:00:00,23:58:00
c6,motorcycle,3.408935081,-76.50498837,0:00:00,23:58:00
c7,car,3.413969037,-76.4739123,0:00:00,23:08:00
c8,motorcycle,3.436076875,-76.49064392,0:00:00,3:13:00
c9,motorcycle,3.461370858,-76.53179437,0:00:00,23:58:00
c10,motorcycle,3.41285376,-76.49222106,0:00:00,23:58:00
c11,motorcycle,3.408603032,-76.53874665,0:00:00,20:12:02
c12,bicycle,3.435250556,-76.50240272,0:00:00,6:11:00
c13,motorcycle,3.423228374,-76.48158342,0:00:00,23:58:00
c14,motorcycle,3.365766245,-76.53050691,0:00:00,23:58:00
c15,bicycle,3.412881642,-76.52948767,0:00:00,23:29:00
c16,motorcycle,3.483113696,-76.49656087,0:00:00,23:58:00
c17,motorcycle,3.477501823,-76.51623756,0:00:00,14:50:01
c18,walking,3.45839256,-76.53533489,0:00:00,15:01:01
c19,bicycle,3.39276356,-76.52786225,0:00:00,23:58:00
c20,motorcycle,3.421345076,-76.49405569,0:00:00,4:26:00
c21,motorcycle,3.398438801,-76.54266804,0:00:00,21:06:01
c22,motorcycle,3.46003506,-76.5326634,0:00:00,23:56:00
c23,motorcycle,3.451640063,-76.5572539,0:00:00,2:48:00
c24,motorcycle,3.431357224,-76.53093606,0:00:00,23:47:00
c25,motorcycle,3.410800636,-76.58284754,0:00:00,13:44:02
c26,car,3.414032405,-76.51234835,0:00:00,23:58:00
c27,motorcycle,3.556242936,-76.28723592,0:00:00,12:49:01
c28,motorcycle,3.512972711,-76.30099565,0:00:00,23:52:00
c29,motorcycle,3.376706101,-76.52002484,0:00:00,23:58:00
c30,motorcycle,3.453543639,-76.48593396,0:00:00,0:44:00
c31,motorcycle,3.420217125,-76.52064174,0:00:00,21:15:01
c32,bicycle,3.37222218,-76.54680938,0:00:00,3:28:00
c33,car,3.344753406,-76.51696712,0:00:00,0:24:00
c34,motorcycle,3.396864739,-76.50915116,0:00:00,23:58:00
c35,motorcycle,3.42676431,-76.48229688,0:00:00,23:58:00
c36,bicycle,3.542504747,-76.31471246,0:00:00,23:58:00
c37,motorcycle,3.464889051,-76.48283333,0:00:00,22:33:00
c38,motorcycle,3.450296661,-76.55448049,0:00:00,1:46:00
c39,motorcycle,3.456674019,-76.475586,0:00:00,21:26:01
c40,motorcycle,3.430006218,-76.54215306,0:00:00,14:35:02
c41,bicycle,3.38539766,-76.55316621,0:00:00,23:31:00
c42,walking,3.256172506,-76.55823022,0:00:00,20:41:01
c43,bicycle,3.439273159,-76.52699322,0:00:00,11:12:01
c44,motorcycle,3.444824198,-76.48762912,0:00:00,13:51:02
c45,bicycle,3.418521396,-76.52440757,0:00:00,23:40:00
c46,motorcycle,3.366121106,-76.52175218,0:00:00,21:26:01
c47,walking,3.371350236,-76.52030379,0:00:00,8:24:00
c48,motorcycle,3.410493934,-76.53412789,0:00:00,22:49:00
c49,motorcycle,3.422939415,-76.51672035,0:00:00,1:25:00
c50,walking,3.436008438,-76.5451625,0:00:00,23:17:00
c51,bicycle,3.44198531,-76.54838115,0:00:00,23:58:00
c52,motorcycle,3.384682869,-76.55611664,0:00:00,18:16:02
c53,walking,3.456587839,-76.53447658,0:00:00,23:58:00
c54,motorcycle,3.432475036,-76.47428781,0:00:00,23:58:00
c55,motorcycle,3.456874262,-76.53532416,0:00:00,23:58:00
c56,motorcycle,3.371395861,-76.52040571,0:00:00,23:58:00
c57,motorcycle,3.417915598,-76.53220206,0:00:00,23:31:00
c58,bicycle,3.373659367,-76.5488264,0:00:00,22:22:00
c59,motorcycle,3.366075481,-76.5307644,0:00:00,21:05:01
c60,motorcycle,3.488084284,-76.55114383,0:00:00,15:01:01
c61,motorcycle,3.364171905,-76.5322879,0:00:00,23:58:00
c62,motorcycle,3.402598278,-76.52520686,0:00:00,7:29:00
c63,motorcycle,3.418326223,-76.4648518,0:00:00,23:58:00
c64,car,3.371124645,-76.51729435,0:00:00,16:20:01
c65,walking,3.398824078,-76.54431492,0:00:00,23:35:00
c66,bicycle,3.410567441,-76.51483744,0:00:00,15:01:01
c67,bicycle,3.494945774,-76.49492472,0:00:00,23:58:00
c68,motorcycle,3.399660536,-76.52819484,0:00:00,1:18:00
c69,motorcycle,3.399954564,-76.52543217,0:00:00,0:28:00
c70,motorcycle,3.397556718,-76.53814584,0:00:00,3:11:00
c71,bicycle,3.419981396,-76.49271995,0:00:00,23:37:00
c72,motorcycle,3.418184278,-76.53603762,0:00:00,23:55:00
c73,walking,3.453584194,-76.55783862,0:00:00,23:31:00
c74,motorcycle,3.419950979,-76.49167389,0:00:00,17:26:01
